epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.962,1.67443,3.38997,1.84849,0.35464,0.51338,0.39853,0.2363,1.27442,2.03901,1.61724,0.00332709,0.00332709,0.00332709
2,271.909,1.33488,2.20447,1.53672,0.53661,0.60368,0.60631,0.36328,1.29869,1.5566,1.59585,0.00659449,0.00659449,0.00659449
3,410.08,1.34491,2.04216,1.56525,0.54695,0.58935,0.60416,0.33276,1.45543,1.66344,1.71935,0.00979588,0.00979588,0.00979588
4,547.619,1.35579,2.05752,1.60104,0.68951,0.69291,0.75612,0.44684,1.32584,1.26995,1.62733,0.009703,0.009703,0.009703
5,697.853,1.32891,1.90627,1.59475,0.74606,0.74137,0.81079,0.4805,1.296,1.17255,1.65962,0.009604,0.009604,0.009604
6,844.357,1.30418,1.80139,1.57917,0.79103,0.78471,0.85633,0.52723,1.22026,1.02918,1.58223,0.009505,0.009505,0.009505
7,991.538,1.27587,1.68196,1.55656,0.80359,0.79883,0.864,0.5198,1.28842,0.98061,1.65179,0.009406,0.009406,0.009406
8,1129.65,1.26658,1.62438,1.5583,0.81737,0.79063,0.87466,0.55209,1.2256,0.96999,1.5795,0.009307,0.009307,0.009307
9,1275.87,1.24514,1.57051,1.54385,0.82619,0.83603,0.8933,0.57591,1.16496,0.89687,1.54184,0.009208,0.009208,0.009208
10,1422.66,1.23654,1.51293,1.53334,0.86953,0.81375,0.90257,0.57905,1.1703,0.87136,1.56896,0.009109,0.009109,0.009109
11,1570.54,1.21889,1.46819,1.52568,0.85475,0.87185,0.92761,0.60849,1.13658,0.81079,1.51325,0.00901,0.00901,0.00901
12,1717.77,1.21563,1.41789,1.52281,0.8982,0.87847,0.94253,0.61758,1.12048,0.74972,1.53442,0.008911,0.008911,0.008911
13,1863.85,1.20317,1.38863,1.51245,0.90981,0.90965,0.956,0.62671,1.1077,0.71229,1.52636,0.008812,0.008812,0.008812
14,2014.33,1.19116,1.35257,1.50211,0.89313,0.87471,0.93591,0.62289,1.10883,0.73644,1.50925,0.008713,0.008713,0.008713
15,2155.15,1.18871,1.34668,1.50954,0.9111,0.90897,0.9596,0.63172,1.14293,0.68045,1.52336,0.008614,0.008614,0.008614
16,2307.24,1.18286,1.32761,1.49933,0.90651,0.90777,0.95386,0.63619,1.12012,0.67777,1.51589,0.008515,0.008515,0.008515
17,2458.37,1.17233,1.29964,1.49395,0.91389,0.89669,0.94521,0.62479,1.12801,0.69514,1.51793,0.008416,0.008416,0.008416
18,2596.37,1.16701,1.28241,1.49091,0.9264,0.90148,0.95882,0.64395,1.10352,0.65896,1.50299,0.008317,0.008317,0.008317
19,2748.35,1.15759,1.27373,1.4835,0.91955,0.91186,0.96143,0.64772,1.07351,0.67389,1.46722,0.008218,0.008218,0.008218
20,2893.47,1.15443,1.25276,1.48151,0.9379,0.92233,0.96459,0.66071,1.06589,0.62659,1.45745,0.008119,0.008119,0.008119
21,3040.54,1.14148,1.23344,1.4712,0.92895,0.92328,0.96605,0.65906,1.08135,0.61218,1.46282,0.00802,0.00802,0.00802
22,3182.95,1.14282,1.21818,1.47448,0.93761,0.92446,0.96654,0.65562,1.07172,0.59815,1.46792,0.007921,0.007921,0.007921
23,3321.59,1.13561,1.18614,1.46686,0.94669,0.94249,0.9738,0.67164,1.0583,0.58646,1.45971,0.007822,0.007822,0.007822
24,3473.46,1.12812,1.18441,1.46434,0.94394,0.94313,0.97506,0.67101,1.05138,0.58052,1.46117,0.007723,0.007723,0.007723
25,3615.8,1.12497,1.1648,1.46056,0.94078,0.93913,0.97467,0.66292,1.08036,0.58506,1.47554,0.007624,0.007624,0.007624
26,3757.05,1.12159,1.15774,1.45761,0.94816,0.9444,0.97781,0.6833,1.0351,0.57054,1.44014,0.007525,0.007525,0.007525
27,3911.85,1.11632,1.1428,1.4535,0.94946,0.93954,0.97762,0.67812,1.04995,0.55469,1.45005,0.007426,0.007426,0.007426
28,4052.29,1.11075,1.14243,1.44962,0.95289,0.94403,0.97848,0.68413,1.02137,0.54913,1.43307,0.007327,0.007327,0.007327
29,4199.86,1.10752,1.13073,1.45205,0.95298,0.95298,0.97936,0.68514,1.04927,0.54304,1.44636,0.007228,0.007228,0.007228
30,4351.96,1.10181,1.11772,1.44711,0.9617,0.94578,0.98016,0.68538,1.04293,0.53004,1.43286,0.007129,0.007129,0.007129
31,4509.5,1.09196,1.0891,1.4354,0.95974,0.95314,0.98265,0.68976,1.0256,0.52336,1.41561,0.00703,0.00703,0.00703
32,4659.37,1.09319,1.09089,1.43677,0.96235,0.95748,0.98299,0.69478,1.02013,0.52409,1.4264,0.006931,0.006931,0.006931
33,4806.43,1.0884,1.08578,1.43714,0.95142,0.96192,0.98223,0.6939,1.01653,0.52534,1.40705,0.006832,0.006832,0.006832
34,4952.52,1.08103,1.07186,1.43193,0.96172,0.95568,0.98292,0.69595,1.00937,0.5136,1.42256,0.006733,0.006733,0.006733
35,5107.67,1.07656,1.07068,1.42954,0.96569,0.95917,0.98388,0.69465,1.00969,0.51142,1.42826,0.006634,0.006634,0.006634
36,5247.92,1.07114,1.05312,1.42367,0.96323,0.95689,0.98338,0.6988,1.01402,0.49633,1.41055,0.006535,0.006535,0.006535
37,5399.24,1.06531,1.03996,1.4177,0.96692,0.961,0.98464,0.70045,1.00976,0.49103,1.40541,0.006436,0.006436,0.006436
38,5558.28,1.06437,1.03666,1.41666,0.97088,0.95787,0.98494,0.70175,1.00583,0.48575,1.41067,0.006337,0.006337,0.006337
39,5715.03,1.06058,1.03294,1.41334,0.96905,0.96176,0.98471,0.70624,1.0029,0.4764,1.39453,0.006238,0.006238,0.006238
40,5868.96,1.05704,1.01588,1.40898,0.97175,0.96116,0.98773,0.71249,0.9904,0.47319,1.38559,0.006139,0.006139,0.006139
41,6016.18,1.05473,1.01709,1.40998,0.96771,0.96273,0.98632,0.7096,0.98897,0.48616,1.39206,0.00604,0.00604,0.00604
42,6167.47,1.04769,1.00063,1.4073,0.9698,0.96856,0.98739,0.71396,0.98573,0.47045,1.39515,0.005941,0.005941,0.005941
43,6322.29,1.04263,1.00365,1.40544,0.965,0.96934,0.98547,0.71011,0.99475,0.47431,1.40045,0.005842,0.005842,0.005842
44,6467.95,1.03924,0.99586,1.40054,0.97234,0.96755,0.98784,0.71088,0.99361,0.46852,1.39903,0.005743,0.005743,0.005743
45,6617.41,1.03713,0.98796,1.39866,0.97381,0.96564,0.98729,0.71525,0.9905,0.45706,1.39478,0.005644,0.005644,0.005644
46,6768.94,1.03007,0.9733,1.39449,0.97531,0.96672,0.98761,0.71768,0.98595,0.45573,1.38651,0.005545,0.005545,0.005545
47,6919.2,1.0275,0.96271,1.39321,0.97405,0.9688,0.98871,0.71928,0.97194,0.45113,1.38114,0.005446,0.005446,0.005446
48,7079.01,1.02107,0.95203,1.38483,0.97603,0.96785,0.98825,0.72256,0.97189,0.44793,1.37159,0.005347,0.005347,0.005347
49,7231.29,1.01774,0.94576,1.38088,0.97495,0.9692,0.98869,0.72021,0.98227,0.44197,1.3749,0.005248,0.005248,0.005248
50,7375.86,1.0127,0.94045,1.37998,0.9735,0.96937,0.98875,0.72341,0.97499,0.44741,1.39445,0.005149,0.005149,0.005149
51,7535.56,1.00954,0.9438,1.37685,0.97042,0.97102,0.98903,0.71673,0.97828,0.44741,1.38277,0.00505,0.00505,0.00505
52,7678.03,1.00063,0.93274,1.3707,0.97006,0.97388,0.98797,0.72074,0.97361,0.44286,1.37636,0.004951,0.004951,0.004951
53,7821.29,0.99976,0.92093,1.37371,0.97284,0.96941,0.98751,0.7225,0.97124,0.43866,1.37782,0.004852,0.004852,0.004852
54,7963.89,0.99492,0.92303,1.37068,0.97377,0.97087,0.9888,0.72302,0.97289,0.4375,1.38339,0.004753,0.004753,0.004753
55,8424.98,0.99635,0.91828,1.36794,0.97737,0.97278,0.98923,0.72454,0.9668,0.43626,1.37661,0.004654,0.004654,0.004654
56,8570.96,0.98716,0.91431,1.36693,0.97667,0.96516,0.98766,0.72493,0.96178,0.43661,1.37293,0.004555,0.004555,0.004555
57,8719.65,0.98358,0.91771,1.36192,0.97384,0.97135,0.98854,0.72542,0.95983,0.43036,1.36669,0.004456,0.004456,0.004456
58,8869.66,0.9791,0.91228,1.3576,0.97944,0.9682,0.98976,0.72739,0.96662,0.42495,1.36963,0.004357,0.004357,0.004357
59,9023.76,0.97457,0.89282,1.35496,0.97638,0.97308,0.9899,0.72815,0.96539,0.42189,1.36942,0.004258,0.004258,0.004258
60,9177.39,0.97094,0.87751,1.34707,0.98163,0.97477,0.9893,0.72829,0.96329,0.41984,1.36777,0.004159,0.004159,0.004159
61,9325.71,0.9699,0.88374,1.34778,0.97728,0.9732,0.98918,0.73043,0.95938,0.41889,1.36015,0.00406,0.00406,0.00406
62,9471.53,0.96073,0.87779,1.34078,0.97642,0.97763,0.99041,0.73197,0.96701,0.41467,1.36522,0.003961,0.003961,0.003961
63,9619.63,0.95479,0.87274,1.33793,0.97968,0.97504,0.99072,0.73301,0.96085,0.41096,1.35865,0.003862,0.003862,0.003862
64,9770.99,0.95203,0.86104,1.33849,0.97792,0.97598,0.99092,0.7323,0.96103,0.4122,1.36626,0.003763,0.003763,0.003763
65,9912.56,0.9493,0.86056,1.33257,0.98204,0.9735,0.99001,0.72875,0.96316,0.4105,1.36371,0.003664,0.003664,0.003664
66,10054.8,0.94435,0.85746,1.33023,0.98275,0.97761,0.99086,0.7308,0.96509,0.4077,1.36286,0.003565,0.003565,0.003565
67,10198.3,0.93823,0.85091,1.32495,0.98099,0.97947,0.99085,0.73277,0.96051,0.40843,1.3615,0.003466,0.003466,0.003466
68,10337.9,0.93251,0.84493,1.32406,0.98442,0.976,0.99033,0.73167,0.96023,0.40831,1.364,0.003367,0.003367,0.003367
